,key,value
0,testing_key_9,"{'protocol': 17.0, 'totlen_fwd_pkts': 100.0, 'fwd_pkt_len_max': 100.0, 'fwd_pkt_len_mean': 100.0, 'bwd_pkt_len_min': 174.0, 'bwd_pkt_len_mean': 174.0, 'bwd_pkt_len_std': 0.0, 'flow_byts_s': 139487.71647044545, 'flow_iat_std': 0.0, 'fwd_iat_tot': 0.0, 'fwd_iat_mean': 0.0, 'fwd_iat_std': 0.0, 'bwd_iat_tot': 0.0, 'bwd_iat_std': 0.0, 'bwd_iat_max': 0.0, 'bwd_iat_min': 0.0, 'fwd_psh_flags': 0.0, 'bwd_psh_flags': 0.0, 'fwd_urg_flags': 0.0, 'bwd_urg_flags': 0.0, 'fwd_pkts_s': 509.0792571914067, 'bwd_pkts_s': 509.0792571914067, 'pkt_len_min': 100.0, 'pkt_len_mean': 137.0, 'pkt_len_std': 37.0, 'fin_flag_cnt': 0.0, 'syn_flag_cnt': 0.0, 'rst_flag_cnt': 0.0, 'psh_flag_cnt': 0.0, 'ack_flag_cnt': 0.0, 'urg_flag_cnt': 0.0, 'cwe_flag_count': 0, 'ece_flag_cnt': 0.0, 'down_up_ratio': 1.0, 'fwd_seg_size_avg': 100.0, 'bwd_seg_size_avg': 174.0, 'fwd_byts_b_avg': 0.0, 'fwd_pkts_b_avg': 0.0, 'fwd_blk_rate_avg': 0.0, 'bwd_byts_b_avg': 0.0, 'bwd_pkts_b_avg': 0.0, 'bwd_blk_rate_avg': 0.0, 'subflow_fwd_byts': 100.0, 'subflow_bwd_pkts': 1.0, 'init_fwd_win_byts': 0.0, 'init_bwd_win_byts': 0.0, 'fwd_seg_size_min': 8.0, 'active_std': 0.0, 'active_max': 0.0, 'active_min': 0.0, 'idle_std': 0.0, 'idle_max': 0.0, 'prediction': 'benign'}"
1,testing_key_9,"{'protocol': 6.0, 'totlen_fwd_pkts': 723.0, 'fwd_pkt_len_max': 583.0, 'fwd_pkt_len_mean': 241.0, 'bwd_pkt_len_min': 74.0, 'bwd_pkt_len_mean': 1434.0, 'bwd_pkt_len_std': 1128.8271199199046, 'flow_byts_s': 19889.041594869483, 'flow_iat_std': 96755.65609897833, 'fwd_iat_tot': 248015.4037475586, 'fwd_iat_mean': 124007.7018737793, 'fwd_iat_std': 120028.25736999512, 'bwd_iat_tot': 249743.46160888672, 'bwd_iat_std': 123245.7160949707, 'bwd_iat_max': 248117.44689941406, 'bwd_iat_min': 1626.0147094726562, 'fwd_psh_flags': 1.0, 'bwd_psh_flags': 2.0, 'fwd_urg_flags': 0.0, 'bwd_urg_flags': 0.0, 'fwd_pkts_s': 11.874054683504168, 'bwd_pkts_s': 11.874054683504168, 'pkt_len_min': 66.0, 'pkt_len_mean': 837.5, 'pkt_len_std': 1011.0311155778869, 'fin_flag_cnt': 0.0, 'syn_flag_cnt': 2.0, 'rst_flag_cnt': 0.0, 'psh_flag_cnt': 3.0, 'ack_flag_cnt': 5.0, 'urg_flag_cnt': 0.0, 'cwe_flag_count': 0, 'ece_flag_cnt': 0.0, 'down_up_ratio': 1.0, 'fwd_seg_size_avg': 241.0, 'bwd_seg_size_avg': 1434.0, 'fwd_byts_b_avg': 0.0, 'fwd_pkts_b_avg': 0.0, 'fwd_blk_rate_avg': 0.0, 'bwd_byts_b_avg': 0.0, 'bwd_pkts_b_avg': 0.0, 'bwd_blk_rate_avg': 0.0, 'subflow_fwd_byts': 723.0, 'subflow_bwd_pkts': 3.0, 'init_fwd_win_byts': 64240.0, 'init_bwd_win_byts': 66.0, 'fwd_seg_size_min': 20.0, 'active_std': 0.0, 'active_max': 0.0, 'active_min': 0.0, 'idle_std': 0.0, 'idle_max': 0.0, 'prediction': 'benign'}"
2,testing_key_9,"{'protocol': 17.0, 'totlen_fwd_pkts': 121.0, 'fwd_pkt_len_max': 121.0, 'fwd_pkt_len_mean': 121.0, 'bwd_pkt_len_min': 75.0, 'bwd_pkt_len_mean': 75.0, 'bwd_pkt_len_std': 0.0, 'flow_byts_s': 211441.25102880658, 'flow_iat_std': 0.0, 'fwd_iat_tot': 0.0, 'fwd_iat_mean': 0.0, 'fwd_iat_std': 0.0, 'bwd_iat_tot': 0.0, 'bwd_iat_std': 0.0, 'bwd_iat_max': 0.0, 'bwd_iat_min': 0.0, 'fwd_psh_flags': 0.0, 'bwd_psh_flags': 0.0, 'fwd_urg_flags': 0.0, 'bwd_urg_flags': 0.0, 'fwd_pkts_s': 1078.7818930041153, 'bwd_pkts_s': 1078.7818930041153, 'pkt_len_min': 75.0, 'pkt_len_mean': 98.0, 'pkt_len_std': 23.0, 'fin_flag_cnt': 0.0, 'syn_flag_cnt': 0.0, 'rst_flag_cnt': 0.0, 'psh_flag_cnt': 0.0, 'ack_flag_cnt': 0.0, 'urg_flag_cnt': 0.0, 'cwe_flag_count': 0, 'ece_flag_cnt': 0.0, 'down_up_ratio': 1.0, 'fwd_seg_size_avg': 121.0, 'bwd_seg_size_avg': 75.0, 'fwd_byts_b_avg': 0.0, 'fwd_pkts_b_avg': 0.0, 'fwd_blk_rate_avg': 0.0, 'bwd_byts_b_avg': 0.0, 'bwd_pkts_b_avg': 0.0, 'bwd_blk_rate_avg': 0.0, 'subflow_fwd_byts': 121.0, 'subflow_bwd_pkts': 1.0, 'init_fwd_win_byts': 0.0, 'init_bwd_win_byts': 0.0, 'fwd_seg_size_min': 8.0, 'active_std': 0.0, 'active_max': 0.0, 'active_min': 0.0, 'idle_std': 0.0, 'idle_max': 0.0, 'prediction': 'benign'}"
